positionne,distanceli,nom,typecapteu,typepostem,nbvoies,moyennejou,debithorai,horairedeb,identifian,identifia0,anneerefer,estvalide,gid,date
1789_VL,0,1789_Velo_Delandine_SN,Capteur inductif Criter,Comptage vélo,1,563.0,103.0,08h00,1789,-1,2023.0,,1055,2025-02-18
1147_V,72,1147_De Gaulle_France_Sembat,Capteur inductif Criter,Comptage tous véhicules,1,3057.0,434.0,17h00,1147,-1,2023.0,,1539,2025-03-23
815_V,117,815_Debrousse_PDFL_Hopital,Capteur inductif Criter,Comptage tous véhicules,1,3596.0,376.0,18h00,815,103,2023.0,,1829,2025-03-27
1835_VL,0,1835_Sortie_PLB_Paris_Bron,Capteur inductif Criter,Comptage tous véhicules,2,4575.0,665.0,17h00,1835,-1,2019.0,,1107,2025-03-02
756_V,96,756_Esses_Poudriere_Cnr,Capteur inductif Criter,Comptage tous véhicules,1,6769.0,875.0,08h00,756,2608,2023.0,,2042,2025-03-10
2204_VL,104,2204_Mermoz_Nicolas_Moselle,Capteur inductif Criter,Comptage tous véhicules,2,12877.0,989.0,16h00,2204,301,2023.0,,439,2025-02-13
652_CS,0,652_Velo_La_Feuillee_O/ E,Capteur inductif Criter,Comptage vélo,1,1555.0,226.0,08h00,652,-1,2022.0,,2084,2025-01-22
704_VL,0,704_Voies_Sud_Valvert,Capteur inductif Criter,Comptage tous véhicules,2,6806.0,960.0,07h00,704,-1,2023.0,,42,2025-01-16
2332_V,79,2332_Perrache_Perrier_Bayard,Capteur inductif Criter,Comptage tous véhicules,1,4550.0,455.0,17h00,2332,2309,2023.0,,1663,2025-02-05
184_VR,80,184_Courmont_Biennier_Sala,Capteur inductif Criter,Comptage tous véhicules,2,24874.0,1711.0,17h00,184,-1,2023.0,,2503,2025-04-06
2136_V,47,2136_Lafayette_Baraban_Alsace,Capteur inductif Criter,Comptage tous véhicules,1,5140.0,378.0,16h00,2136,541,2023.0,,677,2025-03-25
1379_V,0,1379_BUE_Pelloutier_Corbas,Capteur inductif Criter,Comptage tous véhicules,1,,,,1379,-1,,,798,2025-02-28
697_VL,0,697_INT_Quai_Bellevue,Capteur inductif Criter,Comptage tous véhicules,2,16068.0,1491.0,17h00,697,-1,2023.0,,2156,2025-04-07
1909_VL,0,1909_Voie_N346_Decine_Paris_4,Capteur inductif Criter,Comptage tous véhicules,2,48731.0,3989.0,17h00,1909,-1,2023.0,,12,2025-04-01
44_V,69,44_Mermoz_Pare_Morat,Capteur inductif Criter,Comptage tous véhicules,1,8049.0,605.0,07h00,44,299,2023.0,,2470,2025-03-26
1886_V,0,1886_Entrée_A42_Paris_Lyon_3,Capteur inductif Criter,Comptage tous véhicules,1,16955.0,1610.0,07h00,1886,-1,2023.0,,742,2025-02-16
126_VL,102,126_Sarrail_ Bugeaud_Vauban,Capteur inductif Criter,Comptage tous véhicules,2,10903.0,845.0,08h00,126,2273,2023.0,,2409,2025-03-30
2245_VR,0,2245_Hesperide_Grange Blanche_République,Capteur inductif Criter,Comptage tous véhicules,2,9582.0,856.0,19h00,2245,-1,2023.0,,1701,2025-01-28
1043_VR,92,1043_Sortie parking Eurexpo_Expositions,Capteur inductif Criter,Comptage tous véhicules,2,648.0,1150.0,23h00,1043,2768,2023.0,,1494,2025-03-28
1474_V,115,1474_Doua_Salengro_Einstein,Capteur inductif Criter,Comptage tous véhicules,1,3993.0,514.0,08h00,1474,2048,2023.0,,892,2025-02-08
304_VR,116,304_Stalingrad_Vitton_Novel,Capteur inductif Criter,Comptage tous véhicules,2,7899.0,600.0,15h00,304,2508,2023.0,,2631,2025-03-10
566_V,98,566_Genas_Pagere_Brossolette,Capteur inductif Criter,Comptage tous véhicules,1,10615.0,792.0,17h00,566,2115,2023.0,,1977,2025-03-17
894_VL,137,894_Grande-Bretagne_Faurax_Leclerc,Capteur inductif Criter,Comptage tous véhicules,2,8019.0,721.0,08h00,894,2300,2022.0,,1759,2025-03-12
309_VL,480,309_Chambaud la Bruyere_Bernard_Bonnevay,Capteur inductif Criter,Comptage tous véhicules,3,22326.0,2361.0,17h00,309,2492,2023.0,,2640,2025-01-22
1132_V,88,1132_Monnet_Avenir Croix-Roussien_Pasteur,Capteur inductif Criter,Comptage tous véhicules,1,3134.0,482.0,08h00,1132,979,2023.0,,1591,2025-02-12
2316_V,0,2316_VOIE NOUVELLE NS_SG029_SG030,Capteur inductif Criter,Comptage tous véhicules,1,,,,2316,-1,,,384,2025-03-14
1599_SN1,0,1599_Velo_Joliot_Curie_SN,Capteur inductif Criter,Comptage vélo,1,370.0,79.0,17h00,1599,-1,2023.0,,980,2025-04-03
1626_V,93,1626_11 Novembre_Fonds_Chatelain,Capteur inductif Criter,Comptage tous véhicules,1,2694.0,322.0,17h00,1626,-1,2023.0,,997,2025-03-07
1967_VL,0,1967_Voie_N6_Lyon_A89_1,Capteur inductif Criter,Comptage tous véhicules,2,,,,1967,-1,,,81,2025-02-02
965_V_2,999,965_RD51_VC402_Port Masson,Capteur inductif Criter,Comptage tous véhicules,1,4938.0,743.0,07h00,965,-1,2023.0,,1390,2025-03-13
1992_VM,0,1992_Voie_A6_Ecully_Paris_3,Capteur inductif Criter,Comptage tous véhicules,3,51796.0,4548.0,16h00,1992,-1,2022.0,,300,2025-03-12
1228_V,120,1228_Collongue_Charbonniere_Pontet Crases,Capteur inductif Criter,Comptage tous véhicules,1,3584.0,413.0,17h00,1228,-1,2023.0,,1249,2025-02-11
901_VL,39,901_Garibaldi_Bonnel_Dunoir,Capteur inductif Criter,Comptage tous véhicules,3,12809.0,1012.0,17h00,901,229,2023.0,,1174,2025-01-16
2074_VR,0,2074_Voie_A450_Brignais_Lyon1,Capteur inductif Criter,Comptage tous véhicules,2,25324.0,2174.0,07h00,2074,-1,2023.0,,153,2025-01-24
873_VM2,37,873_Merieux_Debourg_Leclerc,Capteur inductif Criter,Comptage tous véhicules,4,15162.0,1516.0,17h00,873,2470,2023.0,,1728,2025-03-19
332_VR,0,332_Perrache_Pt. Mulatiere_TDTG,Capteur inductif Criter,Comptage tous véhicules,2,9416.0,1043.0,08h00,332,315,2023.0,,2376,2025-03-09
1832_VR,0,1832_Voie_PLB_Vinatier_Paris2,Capteur inductif Criter,Comptage tous véhicules,3,65513.0,4885.0,16h00,1832,-1,2023.0,,1102,2025-03-29
731_VR,0,731_Sortie_Voies_Sud_XRousse,Capteur inductif Criter,Comptage tous véhicules,2,19884.0,1974.0,08h00,731,-1,2023.0,,2024,2025-02-11
596_V,75,596_Gillet_Bois de la Caille_Immeuble,Capteur inductif Criter,Comptage tous véhicules,1,6342.0,516.0,15h00,596,2475,2023.0,,1846,2025-04-02
43_V,120,43_Mermoz_Berthelot_Bastie,Capteur inductif Criter,Comptage tous véhicules,1,8728.0,906.0,08h00,43,297,2023.0,,2476,2025-01-29
831_V,84,831_Jaures_Guillotiere_Gambetta,Capteur inductif Criter,Comptage tous véhicules,1,6092.0,445.0,09h00,831,190,2023.0,,1788,2025-02-09
2031_VR,0,2031_Voie_A7_Oullins_Paris,Capteur inductif Criter,Comptage tous véhicules,3,44914.0,4396.0,07h00,2031,-1,2019.0,,421,2025-03-04
1065_VL,101,1065_Bonnel_Garibaldi_V.Merle,Capteur inductif Criter,Comptage tous véhicules,3,8574.0,632.0,18h00,1065,2546,2023.0,,1532,2025-02-05
1112_V,85,1112_Pontet Crases_Rafour_Collongue,Capteur inductif Criter,Comptage tous véhicules,1,3709.0,386.0,08h00,1112,-1,2023.0,,1628,2025-03-17
1180_V,110,1180_Zola_Cimetiere_Bonnevay,Capteur inductif Criter,Comptage tous véhicules,1,11859.0,908.0,08h00,1180,2111,2023.0,,1544,2025-01-29
1948_V,0,1948_Sortie_N346_Paris_ZIMiPlaine,Capteur inductif Criter,Comptage tous véhicules,1,6505.0,631.0,07h00,1948,-1,2023.0,,111,2025-04-01
1971_V,0,1971_Entrée_A6_Dardilly_Marseille,Capteur inductif Criter,Comptage tous véhicules,1,,,,1971,-1,,,221,2025-03-08
50_VM1,182,50_Garibaldi_Gambetta_Boisard,Capteur inductif Criter,Comptage tous véhicules,4,17080.0,1384.0,18h00,50,185,2022.0,,2486,2025-03-08
638_V,66,638_Jaures_Perrin_Arago,Capteur inductif Criter,Comptage tous véhicules,1,4206.0,357.0,08h00,638,2098,2023.0,,2066,2025-02-27
1523_V,67,1523_Sangnier_Pascal_Pl. Marengo,Capteur inductif Criter,Comptage tous véhicules,1,3598.0,285.0,16h00,1523,-1,2023.0,,914,2025-03-13
261_V,101,261_Vitton_Tete d' Or_Roosevelt,Capteur inductif Criter,Comptage tous véhicules,2,6637.0,462.0,18h00,261,317,2023.0,,2395,2025-03-27
1004_V,106,1004_Jean XXIII_Alouettes_Bastie,Capteur inductif Criter,Comptage tous véhicules,1,3068.0,252.0,16h00,1004,417,2023.0,,1468,2025-01-30
842_V,106,842_Charlemagne_Bayard_Perier,Capteur inductif Criter,Comptage tous véhicules,1,1429.0,122.0,12h00,842,662,2023.0,,1684,2025-03-06
1855_VR,0,1855_Voie_PLB_Cusset_Marseille,Capteur inductif Criter,Comptage tous véhicules,3,67198.0,5535.0,07h00,1855,-1,2023.0,,694,2025-01-23
856_VR,332,856_Bleriot_Progres_Arago,Capteur inductif Criter,Comptage tous véhicules,2,2883.0,531.0,08h00,856,898,2023.0,,2163,2025-02-04
1185_VL,85,1185_Trarieux_Roux-Soignat_Florence,Capteur inductif Criter,Comptage tous véhicules,2,3694.0,355.0,09h00,1185,2370,2023.0,,1593,2025-01-21
644_CS,0,644_Velo_Bertin_OE,Capteur inductif Criter,Comptage vélo,1,1155.0,233.0,08h00,644,-1,2022.0,,2073,2025-02-05
629_V,28,629_Tchecoslovaques_Guillotiere_Gambetta,Capteur inductif Criter,Comptage tous véhicules,1,2133.0,235.0,08h00,629,183,2023.0,,2059,2025-01-31
753_V,578,753_Charlemagne_Perrache_Montrochet,Capteur inductif Criter,Comptage tous véhicules,1,5926.0,652.0,08h00,753,315,2023.0,,2038,2025-02-20
917_V,115,917_Koenig_Gilllet_Arloing,Capteur inductif Criter,Comptage tous véhicules,1,2225.0,255.0,17h00,917,142,2023.0,,1185,2025-02-12
1812_VL,0,1812_Entrée_PLB_Vénissieux_Marseille,Capteur inductif Criter,Comptage tous véhicules,2,17671.0,1916.0,15h00,1812,-1,2021.0,,1067,2025-02-09
730_VL,0,730_INT_Voies_Sud_XRousse,Capteur inductif Criter,Comptage tous véhicules,2,20031.0,2005.0,08h00,730,-1,2023.0,,2023,2025-04-09
1368_V,86,1368_8 Mai_Charpak_Cagne,Capteur inductif Criter,Comptage tous véhicules,1,2228.0,205.0,17h00,1368,2198,2023.0,,787,2025-04-04
1181_V,110,1181_Zola_Cimetiere_Souvenir Français,Capteur inductif Criter,Comptage tous véhicules,1,8488.0,712.0,17h00,1181,2111,2023.0,,1545,2025-02-21
859_VR,92,859_Brosset_Strasbourg_Soldats,Capteur inductif Criter,Comptage tous véhicules,2,9992.0,812.0,16h00,859,2003,2023.0,,2168,2025-02-26
2038_VR,0,2038_Voie_A7_Pierre-Benite_Marseille_2,Capteur inductif Criter,Comptage tous véhicules,3,29106.0,3209.0,17h00,2038,-1,2023.0,,477,2025-03-28
1020_V,96,1020_Pressense_Branly_Lherminier,Capteur inductif Criter,Comptage tous véhicules,1,5809.0,504.0,17h00,1020,2488,2023.0,,1478,2025-04-06
1393_V,259,1393_Zola_Pressense_Subit,Capteur inductif Criter,Comptage tous véhicules,1,6706.0,445.0,18h00,1393,2088,2023.0,,1131,2025-03-17
1764_VL,57,1764_Flandin_Saint - Antoine _ Lafayette,Capteur inductif Criter,Comptage tous véhicules,2,3863.0,321.0,17h00,1764,-1,2023.0,,190,2025-01-14
881_VR,102,881_Vienne_Cronstadt_Berthelot,Capteur inductif Criter,Comptage tous véhicules,2,10453.0,822.0,18h00,881,597,2023.0,,1745,2025-04-04
1898_VR,0,1898_Voie_N346_Decine_Paris_1,Capteur inductif Criter,Comptage tous véhicules,2,47567.0,4051.0,17h00,1898,-1,2023.0,,760,2025-03-04
1907_VR,0,1907_Voie_N346_Decine_Marseille_3,Capteur inductif Criter,Comptage tous véhicules,2,44477.0,3415.0,07h00,1907,-1,2023.0,,587,2025-04-01
1121_V,98,1121_8 Mai 1945_Renan_Voie privee,Capteur inductif Criter,Comptage tous véhicules,1,9302.0,987.0,17h00,1121,-1,2023.0,,1637,2025-02-27
1579_V,85,1579_RD433_Rd Point_Dupont,Capteur inductif Criter,Comptage tous véhicules,1,5514.0,550.0,17h00,1579,34,2023.0,,860,2025-02-01
1817_VR,0,1817_Voie_PLB_Parilly_Marseille,Capteur inductif Criter,Comptage tous véhicules,3,,,,1817,-1,,,1078,2025-04-02
1887_VR,0,1887_Entrée_A42_Paris_Grenoble,Capteur inductif Criter,Comptage tous véhicules,2,18114.0,1809.0,17h00,1887,-1,2023.0,,741,2025-03-10
698_VL,0,698_Sortie_Tube_Nord_Caluire,Capteur inductif Criter,Comptage tous véhicules,2,24172.0,3271.0,08h00,698,-1,2023.0,,2157,2025-02-07
216_VR,170,216_Pt Wilson_Augagneur_Courmont Tà G,Capteur inductif Criter,Comptage tous véhicules,2,10217.0,863.0,19h00,216,230,2023.0,,2251,2025-01-18
426_VR,62,426_Lyon_Condorcet_Germain TD,Capteur inductif Criter,Comptage tous véhicules,2,8127.0,800.0,08h00,426,795,2023.0,,2275,2025-03-01
1604_VN1,0,1604_Velo_Genas_Lacouture_EO,Capteur inductif Criter,Comptage vélo,1,307.0,46.0,17h00,1604,-1,2023.0,,990,2025-03-21
2005_V,0,2005_Sortie_A6_Marseille_Lyon-Ménival,Capteur inductif Criter,Comptage tous véhicules,1,1591.0,80.0,18h00,2005,-1,2022.0,,670,2025-04-04
1401_V,114,1401_Termier_Faisan_Carrie,Capteur inductif Criter,Comptage tous véhicules,1,2297.0,253.0,17h00,1401,-1,2023.0,,1633,2025-02-22
2043_VL,0,2043_Voie_A7_A450_Marseille,Capteur inductif Criter,Comptage tous véhicules,3,56333.0,4349.0,16h00,2043,-1,2023.0,,487,2025-01-28
2149_VM,0,2149_Velo_Passerelle IKEA S/N,Capteur inductif Criter,Comptage vélo,1,272.0,42.0,08h00,2149,-1,2023.0,,2032,2025-03-24
665_V,41,665_Lumiere_Rollet_Tchecoslovaques,Capteur inductif Criter,Comptage tous véhicules,1,841.0,105.0,08h00,665,2261,2023.0,,2106,2025-02-15
333_V,108,333_Perrache_Chol_TD,Capteur inductif Criter,Comptage tous véhicules,1,6277.0,522.0,18h00,333,315,2022.0,,2373,2025-03-19
2284_V,76,2284_Mouche_Platanes_Revoyet,Capteur inductif Criter,Comptage tous véhicules,1,2986.0,357.0,17h00,2284,950,2023.0,,655,2025-01-18
966_V_2,999,966_Roosevelt_Delessert_Dumas,Capteur inductif Criter,Comptage tous véhicules,1,4924.0,481.0,17h00,966,-1,2022.0,,1355,2025-03-02
1950_VM,0,1950_Voie_N346_Saint_Priest_Marseille_2,Capteur inductif Criter,Comptage tous véhicules,3,57303.0,4527.0,16h00,1950,-1,2023.0,,113,2025-02-07
1945_VL,0,1945_Voie_N346_Saint_Priest_Marseille_1,Capteur inductif Criter,Comptage tous véhicules,2,50323.0,3759.0,16h00,1945,-1,2023.0,,105,2025-03-09
1834_V,0,1834_Sortie_PLB_Paris_Vinatier2,Capteur inductif Criter,Comptage tous véhicules,1,3917.0,432.0,07h00,1834,-1,2019.0,,1106,2025-02-18
1158_CS,0,1158_Velo_Pt_Kitchener_OE,Capteur inductif Criter,Comptage vélo,1,667.0,140.0,08h00,1158,-1,2023.0,,642,2025-04-06
1246_V,94,1246_Baron du Marais_J. d'Arc_Croix Pivort,Capteur inductif Criter,Comptage tous véhicules,1,701.0,165.0,08h00,1246,-1,2023.0,,1201,2025-03-10
1171_V,96,1171_Autopont Bonnevay_8 Mai 1945_Rdt Point,Capteur inductif Criter,Comptage tous véhicules,1,2362.0,319.0,08h00,1171,2800,2023.0,,1550,2025-01-13
758_V,79,758_Gillet_Serin_PP,Capteur inductif Criter,Comptage tous véhicules,1,5791.0,515.0,18h00,758,2695,2023.0,,2052,2025-03-10
54_V,89,54_11Novembre_Rosselinli_Stalingrad,Capteur inductif Criter,Comptage tous véhicules,1,5682.0,558.0,17h00,54,354,2023.0,,2467,2025-03-18
1847_VL,0,1847_Voie_PLB_Montchat_Marseille1,Capteur inductif Criter,Comptage tous véhicules,3,83398.0,17036.0,18h00,1847,-1,2023.0,,952,2025-03-05
48_VL,42,48_Bonnel_Liberté_Moliere,Capteur inductif Criter,Comptage tous véhicules,3,16528.0,1399.0,08h00,48,222,2023.0,,2648,2025-03-12
161_VL,100,161_Gailleton_RempartsDAinay_Pt de l' Universite,Capteur inductif Criter,Comptage tous véhicules,2,27655.0,1906.0,08h00,161,2310,2023.0,,2542,2025-03-02
1984_VR,0,1984_Voie_A6_Ecully_Paris_2,Capteur inductif Criter,Comptage tous véhicules,3,50370.0,4466.0,17h00,1984,-1,2023.0,,272,2025-01-19
692_VR,0,692_INT_Tube_Sud_Rochecardon,Capteur inductif Criter,Comptage tous véhicules,2,20034.0,2688.0,07h00,692,-1,2023.0,,2143,2025-03-27
61_V,74,61_Etats Unis_Leriche_Beauvisage,Capteur inductif Criter,Comptage tous véhicules,1,7445.0,512.0,12h00,61,533,2023.0,,37,2025-03-15
1907_VL,0,1907_Voie_N346_Decine_Marseille_3,Capteur inductif Criter,Comptage tous véhicules,2,44477.0,3415.0,07h00,1907,-1,2023.0,,586,2025-01-27
2218_VL,108,2218_Pinel_Lac+D52:D62assagne_Esquirol,Capteur inductif Criter,Comptage tous véhicules,2,6817.0,569.0,08h00,2218,632,2023.0,,506,2025-02-09
255_VL,55,255_Belges_France_Tronchet,Capteur inductif Criter,Comptage tous véhicules,2,8600.0,765.0,17h00,255,549,2023.0,,2747,2025-03-13
1446_V,65,1446_Terme_Blandan_OL. Robatel,Capteur inductif Criter,Comptage tous véhicules,1,6069.0,622.0,08h00,1446,147,2023.0,,871,2025-02-22
1845_VR,0,1845_Voie_PLB_Montchat_Paris2,Capteur inductif Criter,Comptage tous véhicules,3,60328.0,5397.0,17h00,1845,-1,2020.0,,652,2025-02-16
2245_VL,0,2245_Hesperide_Grange Blanche_République,Capteur inductif Criter,Comptage tous véhicules,2,9582.0,856.0,19h00,2245,-1,2023.0,,1702,2025-03-08
2325_V,12,2325_Pont de Vernaison Est -> Ouest,Capteur inductif Criter,Comptage tous véhicules,1,7589.0,779.0,17h00,2325,2882,2023.0,,827,2025-01-18
526_CS,0,526_Velo_P. Dieu_OE,Capteur inductif Criter,Comptage vélo,1,,,,526,-1,,,1937,2025-03-05
2263_V,110,2263_Gadagne_Putet_Clémenceau,Capteur inductif Criter,Comptage tous véhicules,1,,,,2263,-1,,,360,2025-01-17
2126_VR,0,2126_Voie_A7_Ternay_Marseille_3,Capteur inductif Criter,Comptage tous véhicules,3,29515.0,2691.0,18h00,2126,-1,2023.0,,131,2025-03-13
1838_VR,0,1838_Voie_PLB_Vinatier_Marseille1,Capteur inductif Criter,Comptage tous véhicules,3,56233.0,5070.0,07h00,1838,-1,2023.0,,1112,2025-03-28
1225_V,114,1225_Dumond_Grand Champ_Bergeron,Capteur inductif Criter,Comptage tous véhicules,1,7327.0,620.0,08h00,1225,-1,2023.0,,1246,2025-04-06
2030_VR,0,2030_Voie_A7_LaMulatiere_Marseille_2,Capteur inductif Criter,Comptage tous véhicules,3,,,,2030,-1,,,410,2025-03-08
895_V,93,895_Serbie_Helvetie_Mouisset,Capteur inductif Criter,Comptage tous véhicules,1,7270.0,555.0,08h00,895,581,2023.0,,1761,2025-02-11
253_VR,118,253_Belges_Verguin_Duquesne,Capteur inductif Criter,Comptage tous véhicules,2,11007.0,942.0,17h00,253,569,2023.0,,2434,2025-03-18
1232_V,81,1232_Collongue_Charriere_Charbonnieres,Capteur inductif Criter,Comptage tous véhicules,1,3040.0,353.0,08h00,1232,-1,2023.0,,1286,2025-03-01
657_CS,0,657_Velo_Belleco_OE,Capteur inductif Criter,Comptage vélo,1,1308.0,256.0,08h00,657,-1,2023.0,,2095,2025-01-15
267_V,93,267_Zola_Kahn_Republique,Capteur inductif Criter,Comptage tous véhicules,1,7122.0,540.0,08h00,267,2064,2023.0,,2666,2025-03-23
2012_VL,0,2012_Voie_A6_Lyon5_Paris,Capteur inductif Criter,Comptage tous véhicules,2,,,,2012,-1,,,594,2025-01-25
321_VR,125,321_Pt Pasteur_Perrache_Perrin,Capteur inductif Criter,Comptage tous véhicules,3,16614.0,1822.0,08h00,321,520,2023.0,,2351,2025-03-10
2099_VM,0,2099_Voie_A7_SaintFons_Paris_2,Capteur inductif Criter,Comptage tous véhicules,3,49132.0,4434.0,07h00,2099,-1,2023.0,,2,2025-02-05
730_VR,0,730_INT_Voies_Sud_XRousse,Capteur inductif Criter,Comptage tous véhicules,2,20031.0,2005.0,08h00,730,-1,2023.0,,2022,2025-03-23
988_V,112,988_Gillet_Schuman_Ypres,Capteur inductif Criter,Comptage tous véhicules,1,7604.0,752.0,18h00,988,2758,2023.0,,1336,2025-01-18
102_Temp,98,102_Vitton_Massena_Tete D'or,Capteur inductif Criter,Comptage tous véhicules,1,6976.0,463.0,18h00,102,316,2023.0,,2707,2025-01-19
1444_V,116,1444_Martiniere_Flandin_St Vincent,Capteur inductif Criter,Comptage tous véhicules,1,3111.0,267.0,15h00,1444,-1,2023.0,,615,2025-02-17
1938_VL,0,1938_Voie_N346_Genas_Paris_3,Capteur inductif Criter,Comptage tous véhicules,2,40007.0,3209.0,16h00,1938,-1,2022.0,,15,2025-03-22
2057_VR,0,2057_Voie_A450_SaintGenisLaval_Brignais1,Capteur inductif Criter,Comptage tous véhicules,2,35334.0,3366.0,18h00,2057,-1,2023.0,,569,2025-01-16
884_VR,116,884_Roosevelt_Iris_Bonnevay,Capteur inductif Criter,Comptage tous véhicules,2,13749.0,1175.0,16h00,884,476,2023.0,,1750,2025-02-25
817_V,125,817_Favorite_Pommieres_Point du Jour,Capteur inductif Criter,Comptage tous véhicules,1,757.0,412.0,08h00,817,-1,2022.0,,1831,2025-04-07
1773_V,53,1773_Philip _ Part Dieu _ Servient,Capteur inductif Criter,Comptage tous véhicules,1,4471.0,338.0,08h00,1773,236,2023.0,,946,2025-03-01
647_SN,0,647_Velo_France_EO,Capteur inductif Criter,Comptage vélo,1,360.0,59.0,08h00,647,-1,2022.0,,2077,2025-03-18
192_VR,143,192_Lassagne_Violi_Moulin,Capteur inductif Criter,Comptage tous véhicules,3,12531.0,919.0,09h00,192,157,2023.0,,2779,2025-02-07
149_VR,31,149_Grenette_Juin_Brest,Capteur inductif Criter,Comptage tous véhicules,2,6697.0,745.0,08h00,149,260,2023.0,,2544,2025-01-21
2274_V,60,2274_DeGaulle_Lyon_Reclus,Capteur inductif Criter,Comptage tous véhicules,1,8275.0,884.0,16h00,2274,885,2023.0,,371,2025-03-07
1351_V,90,1351_Clemenceau_Fond-Rose_Maitre,Capteur inductif Criter,Comptage tous véhicules,1,6691.0,615.0,08h00,1351,2733,2023.0,,774,2025-03-11
1568_V,97,1568_Echets_Brettets_Dimes,Capteur inductif Criter,Comptage tous véhicules,1,3011.0,357.0,17h00,1568,-1,2023.0,,852,2025-03-22
1008_VL,96,1008_Einstein_11 Novembre_Antonins,Capteur inductif Criter,Comptage tous véhicules,2,5041.0,530.0,08h00,1008,2881,2023.0,,1474,2025-02-25
2016_VR,0,2016_Voie_A6_Lyon2_Paris,Capteur inductif Criter,Comptage tous véhicules,2,,,,2016,-1,,,599,2025-03-06
1341_V,85,1341_Zola_Chateaubriand_Wilson,Capteur inductif Criter,Comptage tous véhicules,1,3542.0,480.0,08h00,1341,-1,2023.0,,1300,2025-01-30
1875_VR,0,1875_Voie_A42_Vaulx-en-Velin_Geneve_2,Capteur inductif Criter,Comptage tous véhicules,2,43252.0,3289.0,15h00,1875,-1,2023.0,,722,2025-01-14
1234_V,89,1234_Mermet_Alizes_Deperet,Capteur inductif Criter,Comptage tous véhicules,1,3811.0,407.0,18h00,1234,-1,2023.0,,1288,2025-02-14
244_VR,90,244_Garnier_Jaures_Bouin,Capteur inductif Criter,Comptage tous véhicules,3,10810.0,874.0,17h00,244,525,2023.0,,2752,2025-03-11
1291_V,80,1291_Republique_Machet_Jaures,Capteur inductif Criter,Comptage tous véhicules,1,3426.0,366.0,17h00,1291,-1,2023.0,,1221,2025-03-24
131_VR,115,131_Pt.Guillotiere_Gambetta_Courmont,Capteur inductif Criter,Comptage tous véhicules,2,4493.0,363.0,17h00,131,502,2023.0,,2420,2025-02-23
1769_V,80,1769_Flandin _ Charial _ Bert,Capteur inductif Criter,Comptage tous véhicules,1,3633.0,281.0,16h00,1769,-1,2023.0,,963,2025-02-22
2148_OE,0,2148_Velo_Lafayette_SNCF_OE,Capteur inductif Criter,Comptage vélo,1,3149.0,469.0,18h00,2148,-1,2023.0,,1688,2025-04-07
2115_VL,0,2115_Voie_A7_Solaize_Marseille_3,Capteur inductif Criter,Comptage tous véhicules,3,45657.0,4064.0,18h00,2115,-1,2023.0,,541,2025-03-29
2172_V,83,2172_Ligonnet_Liauthaud_11 Novembre,Capteur inductif Criter,Comptage tous véhicules,1,291.0,235.0,17h00,2172,2558,2023.0,,687,2025-03-28
2133_VL,0,2133_Voie_A47_Ternay_Saint-Etienne,Capteur inductif Criter,Comptage tous véhicules,2,33641.0,2652.0,15h00,2133,-1,2023.0,,138,2025-03-05
2097_VM,0,2097_Voie_A7_SaintFons_Paris_1,Capteur inductif Criter,Comptage tous véhicules,3,74043.0,6016.0,16h00,2097,-1,2022.0,,204,2025-03-14
1049_SN,0,1049_Velo_Thomas_SNCF_EO,Capteur inductif Criter,Comptage vélo,1,1612.0,269.0,08h00,1049,-1,2023.0,,1526,2025-02-27
2097_VM,0,2097_Voie_A7_SaintFons_Paris_1,Capteur inductif Criter,Comptage tous véhicules,3,74043.0,6016.0,16h00,2097,-1,2022.0,,201,2025-02-07
1206_V,84,1206_Poncet_Bellecour_Tà G,Capteur inductif Criter,Comptage tous véhicules,1,4742.0,484.0,16h00,1206,250,2023.0,,1569,2025-04-03
1998_V,0,1998_Entrée_A6_Tassin_Marseille,Capteur inductif Criter,Comptage tous véhicules,1,7399.0,716.0,08h00,1998,-1,2023.0,,664,2025-02-10
590_V,133,590_Lanessan_25e RTS_Champagne,Capteur inductif Criter,Comptage tous véhicules,1,6339.0,525.0,17h00,590,758,2023.0,,1840,2025-03-18
1967_VR,0,1967_Voie_N6_Lyon_A89_1,Capteur inductif Criter,Comptage tous véhicules,2,,,,1967,-1,,,218,2025-03-12
3_VL,88,3_Berthelot_JeanGay_Tchecoslovaques,Capteur inductif Criter,Comptage tous véhicules,2,15420.0,1017.0,18h00,3,409,2023.0,,2693,2025-02-05
1360_V,123,1360_Cachin_Democratie_Feyzin,Capteur inductif Criter,Comptage tous véhicules,1,3430.0,364.0,17h00,1360,2208,2023.0,,782,2025-01-22
1829_V,0,1829_Entrée_PLB_Vinatier_Marseille,Capteur inductif Criter,Comptage tous véhicules,1,,,,1829,-1,,,1096,2025-03-20
1584_V,0,1584_Lanessan_Bartet_Dellevaux,Capteur inductif Criter,Comptage tous véhicules,1,4716.0,449.0,18h00,1584,-1,2023.0,,995,2025-03-30
1921_VR,0,1921_Voie_N346_ParcOlympiqueLyonnais_Marseille,Capteur inductif Criter,Comptage tous véhicules,2,41344.0,3543.0,07h00,1921,-1,2023.0,,460,2025-03-16
15_VR,64,15_Servient_Liberte_Augagneur,Capteur inductif Criter,Comptage tous véhicules,2,12706.0,1001.0,16h00,15,396,2023.0,,2763,2025-02-13
