positionne,distanceli,nom,typecapteu,typepostem,nbvoies,moyennejou,debithorai,horairedeb,identifian,identifia0,anneerefer,estvalide,gid,date
240_V,81,240_Vienne_Renan_Couturier,Capteur inductif Criter,Comptage tous véhicules,1,8927.0,778.0,08h00,240,2148,2023.0,,2765,2025-03-20
62_V,82,62_Etats Unis_Leriche_Viviani,Capteur inductif Criter,Comptage tous véhicules,1,8584.0,677.0,08h00,62,2155,2023.0,,1705,2025-01-21
408_V,82,408_Apollinaire_Guerin_Buyer,Capteur inductif Criter,Comptage tous véhicules,1,5640.0,552.0,18h00,408,685,2023.0,,2681,2025-02-09
1973_V,0,1973_Entrée_A6_Techlid_Paris,Capteur inductif Criter,Comptage tous véhicules,1,6255.0,1401.0,17h00,1973,-1,2023.0,,227,2025-02-05
594_V,98,594_Sedallian_Mouriquand_Carret,Capteur inductif Criter,Comptage tous véhicules,1,7958.0,793.0,07h00,594,667,2023.0,,1844,2025-02-19
1064_VL,94,1064_Villette_Pompidou_Bert,Capteur inductif Criter,Comptage tous véhicules,2,6963.0,511.0,19h00,1064,2447,2020.0,,1421,2025-04-07
1318_VR,54,1318_Guesde_Croizat_Pernet,Capteur inductif Criter,Comptage tous véhicules,2,4344.0,503.0,08h00,1318,2168,2023.0,,1280,2025-02-14
1869_V,0,1869_Entrée_PLB_CroixLuizet_Marseille,Capteur inductif Criter,Comptage tous véhicules,1,10041.0,827.0,08h00,1869,-1,2023.0,,713,2025-02-06
1014_V,96,1014_11 Novembre_Boulevard_Condorcet,Capteur inductif Criter,Comptage tous véhicules,1,3270.0,366.0,08h00,1014,451,2022.0,,1513,2025-02-11
816_V,108,816_Appian_Favorite_Fosses de Trion,Capteur inductif Criter,Comptage tous véhicules,1,2752.0,376.0,08h00,816,-1,2023.0,,1830,2025-02-18
109_VR,165,109_Lacassagne_Bert_Faure,Capteur inductif Criter,Comptage tous véhicules,2,8151.0,663.0,17h00,109,314,2023.0,,2706,2025-02-03
918_V,108,918_Koenig_Chauveau_St Vincent,Capteur inductif Criter,Comptage tous véhicules,1,7138.0,679.0,08h00,918,368,2023.0,,1184,2025-04-07
242_V2,120,242_Valvert_Vallon_TEO,Capteur inductif Criter,Comptage tous véhicules,1,16178.0,1396.0,07h00,242,8,2023.0,,2749,2025-01-30
597_VL,129,597_Marietton_Ducherel_Verdun,Capteur inductif Criter,Comptage tous véhicules,2,12174.0,1249.0,18h00,597,697,2023.0,,1848,2025-02-21
2338_V,56,2338_8mai1945_Salengro_Bret.Cx.Luizet,Capteur inductif Criter,Comptage tous véhicules,1,12158.0,914.0,18h00,2338,2899,2023.0,,1659,2025-03-20
1961_VM,0,1961_Voie_A43_Grenoble_PortedeAlpes,Capteur inductif Criter,Comptage tous véhicules,3,53683.0,4085.0,07h00,1961,-1,2023.0,,71,2025-03-18
120_VL,113,120_Pompidou_Vivier Merle_Villette,Capteur inductif Criter,Comptage tous véhicules,2,,,,120,220,,,2423,2025-02-04
172_VM,121,172_Kitchener_Joffre_Fulchiron,Capteur inductif Criter,Comptage tous véhicules,3,20697.0,1807.0,18h00,172,253,2023.0,,2518,2025-01-31
1187_V,122,1187_Pare_Paradin_Rockefeller,Capteur inductif Criter,Comptage tous véhicules,1,6375.0,555.0,18h00,1187,471,2023.0,,1597,2025-03-08
1292_V,78,1292_Bert_Tram Lea_Jaures,Capteur inductif Criter,Comptage tous véhicules,1,1770.0,812.0,11h00,1292,878,2023.0,,1222,2025-03-24
121_VR,50,121_Pompidou_Villette_Vivier Merle,Capteur inductif Criter,Comptage tous véhicules,2,,,,121,220,,,2410,2025-02-14
713_VL,0,713_Voies_Nord_LaPape_3,Capteur inductif Criter,Comptage tous véhicules,3,48845.0,4055.0,16h00,713,-1,2023.0,,2088,2025-02-20
548_VR,100,548_Boucle_Canuts_Herbouville,Capteur inductif Criter,Comptage tous véhicules,2,17699.0,1475.0,08h00,548,-1,2023.0,,1957,2025-01-19
1772_V,88,1772_Philip_Dolet_Chaponnay,Capteur inductif Criter,Comptage tous véhicules,1,3923.0,329.0,08h00,1772,2257,2023.0,,945,2025-02-24
1986_V,0,1986_Entrée_A6_Ecully_Paris,Capteur inductif Criter,Comptage tous véhicules,1,1795.0,233.0,17h00,1986,-1,2023.0,,276,2025-03-20
1383_V,99,1383_Cagne_Resistance_Cachin,Capteur inductif Criter,Comptage tous véhicules,1,4204.0,366.0,17h00,1383,2583,2020.0,,802,2025-03-07
