code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MGR69.D1;DIRCE;;;;0;;;;;;;0;0;;;;;
M07SF.41;DIRSO;733131555;A62;31PR228DC;700;31PR229DC;650;1;NORD_SUD;Y;INTERIEUR;953;0;575698.0;6284274.5;576626.56;6283912.5;TO31
M07SF.42;DIRSO;733131555;A62;31PR228GC;700;31PR229GC;650;1;SUD_NORD;W;EXTERIEUR;965;0;575700.0;6284307.0;576643.6;6283930.5;TO31
"#MZo57.2";DIRE;;;;0;;;;;;;0;0;;;;;
N0356021000;DIRN;;;;0;;;;;;;0;0;;;;;
KAR76.B1;DIRNO;237676540;N28;76PR5D;490;76PR6D;236;1;SUD_NORD;Y;;954;0;564943.25;6930978.5;564822.3;6932085.0;RO76
KAR76.B2;DIRNO;237676540;N28;76PR5G;490;76PR6G;236;1;NORD_SUD;W;;971;0;564930.56;6930977.5;564815.44;6932096.5;RO76
A0001021522;DIRN;;;;0;;;;;;;0;0;;;;;
MM413.L1;DIRMED;931313005;A501;13PR1D;45;13PR1D;545;1;SUD_NORD;W;;501;0;907578.3;6247151.5;907578.3;6247151.5;MA13
MM513.S1;DIRMED;931313055;A55;13PR9D;400;13PR9D;900;1;EST_OUEST;W;;502;0;888955.0;6254734.0;888955.0;6254734.0;MA13
MY569.G2;DIRCE;826969204;A0450;4;231;;;2;;;;0;0;;;;;
MY569.G1;DIRCE;826969204;A450;69PR4D;1;69PR7U;971;1;EST_OUEST;W;;0;0;839608.1;6510420.0;837136.3;6508851.5;LY69
A0025010330;DIRN;;;;0;;;;;;;0;0;;;;;
A22TC010102;DIRN;;;;0;;;;;;;0;0;;;;;
MB631.Z6;DIRSO;733131149;N124;31PR7G;884;31PR8G;666;1;OUEST_EST;Y;;779;0;566738.06;6280029.5;565808.1;6279947.5;TO31
MbW87.31;DIRCO;;A20;;0;;;1;;;;1386;0;;;;;
MWL44.J2;DIRO;524444109;N844;44PR27G;300;44PR27G;750;1;OUEST_EST;W;EXTERIEUR;449;0;350784.56;6687708.0;350784.56;6687708.0;NA44
MB631.Z5;DIRSO;733131149;N124;31PR7D;884;31PR8D;666;1;EST_OUEST;W;;775;0;566737.0;6280038.0;565817.2;6279966.0;TO31
MM313.C1;DIRMED;931313055;A50;13PR1D;346;13PR1D;846;1;OUEST_EST;Y;;500;0;895313.0;6245771.5;895313.0;6245771.5;MA13
Mm513.y2;DIRMED;931313071;A551;13PR0G;0;13PR0G;500;1;SUD_NORD;W;;505;0;885675.0;6259081.0;885675.0;6259081.0;MA13
A22TC010101;DIRN;;;;0;;;;;;;0;0;;;;;
MB233.B1;DIRA;723333192;A630;33PR26D;930;33PR28D;19;1;OUEST_EST;W;EXTERIEUR;854;3;414355.84;6416625.0;415961.1;6415981.0;BX33
MB233.B2;DIRA;723333192;A630;33PR26G;956;33PR27G;617;1;EST_OUEST;Y;INTERIEUR;708;3;414355.6;6416628.5;415312.4;6416399.5;BX33
M07SF.32;DIRSO;733131555;A62;31PR227GC;550;31PR228GC;700;1;SUD_NORD;W;EXTERIEUR;1164;0;574714.06;6284304.5;575700.0;6284307.0;TO31
MB333.L2;DIRA;723333065;N230;33PR36G;828;33PR37G;616;1;NORD_SUD;Y;INTERIEUR;800;3;421754.22;6419426.0;422504.88;6420039.0;BX33
MGR69.E2;DIRCE;;;;0;;;;;;;0;0;;;;;
MB333.L1;DIRA;723333065;N230;33PR36D;835;33PR37D;630;1;SUD_NORD;W;EXTERIEUR;799;3;421766.97;6419422.5;422514.56;6420030.0;BX33
MM213.J1;DIRMED;931313055;A507;13PR7D;111;13PR7D;740;1;NORD_SUD;Y;;631;0;896873.44;6247927.0;896873.44;6247927.0;MA13
M07SF.31;DIRSO;733131555;A62;31PR227DC;550;31PR228DC;700;1;NORD_SUD;Y;INTERIEUR;1156;0;574718.4;6284285.0;575698.0;6284274.5;TO31
KAR76.A1;DIRNO;237676540;N28;76PR3D;1122;76PR4D;770;1;SUD_NORD;Y;;865;0;564996.0;6928900.0;565437.56;6929966.5;RO76
A0001021512;DIRN;;;;0;;;;;;;0;0;;;;;
MM413.M1;DIRMED;931313005;A501;13PR1D;435;13PR1D;935;1;SUD_NORD;W;;501;0;907578.3;6247151.5;907578.3;6247151.5;MA13
A0001021511;DIRN;;;;0;;;;;;;0;0;;;;;
KAR76.A2;DIRNO;237676540;N28;76PR3G;1122;76PR4G;770;1;NORD_SUD;W;;865;0;564985.0;6928953.0;565427.5;6929973.0;RO76
MY569.D1;DIRCE;826969204;A450;69PR2D;626;69PR3D;0;1;EST_OUEST;W;;0;0;841218.2;6511599.0;840427.44;6510996.5;LY69
MM513.V1;DIRMED;931313071;A55;13PR10D;822;13PR11D;322;1;EST_OUEST;W;;500;0;888158.0;6255320.0;887754.0;6256231.0;MA13
MGR69.G1;DIRCE;;;;0;;;;;;;0;0;;;;;
MbW87.42;DIRCO;;A20;;0;;;2;;;;1973;0;;;;;
MbW87.41;DIRCO;;A20;;0;;;1;;;;1959;0;;;;;
MGR69.G2;DIRCE;;;;0;;;;;;;0;0;;;;;
