id,gid,code_zone,zone,date,date_dif,code_pol,polluant,etat,niveau,com_court,commentaire,OBJECTID,SHAPE__Area,SHAPE__Length
127,127,2016,Zone Alpine Ain,2025-02-11,2025-02-10,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,127,3359408044.19214,346225.361125245
128,128,2016,Zone Alpine Ain,2025-02-25,2025-02-24,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,128,3359408044.19214,346225.361125245
129,129,2016,Zone Alpine Ain,2025-01-14,2025-01-13,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,129,3359408044.19214,346225.361125245
130,130,2016,Zone Alpine Ain,2025-03-11,2025-03-10,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,130,3359408044.19214,346225.361125245
131,131,2016,Zone Alpine Ain,2025-01-28,2025-01-27,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,131,3359408044.19214,346225.361125245
132,132,2016,Zone Alpine Ain,2025-03-02,2025-03-01,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,132,3359408044.19214,346225.361125245
133,133,2013,Zone Alpine Isère,2025-03-23,2025-03-22,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,133,7206588787.80615,781821.320976567
134,134,2013,Zone Alpine Isère,2025-01-26,2025-01-25,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,134,7206588787.80615,781821.320976567
135,135,2013,Zone Alpine Isère,2025-03-08,2025-03-07,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,135,7206588787.80615,781821.320976567
136,136,2013,Zone Alpine Isère,2025-02-06,2025-02-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,136,7206588787.80615,781821.320976567
137,137,2013,Zone Alpine Isère,2025-04-03,2025-04-02,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,137,7206588787.80615,781821.320976567
138,138,2013,Zone Alpine Isère,2025-02-22,2025-02-21,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,138,7206588787.80615,781821.320976567
139,139,2007,Ouest Ardèche,2025-01-22,2025-01-21,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,139,9228857579.24243,627133.487901413
140,140,2007,Ouest Ardèche,2025-02-15,2025-02-14,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,140,9228857579.24243,627133.487901413
141,141,2007,Ouest Ardèche,2025-02-16,2025-02-15,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,141,9228857579.24243,627133.487901413
142,142,2007,Ouest Ardèche,2025-02-27,2025-02-26,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,142,9228857579.24243,627133.487901413
143,143,2007,Ouest Ardèche,2025-01-20,2025-01-19,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,143,9228857579.24243,627133.487901413
144,144,2007,Ouest Ardèche,2025-02-17,2025-02-16,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,144,9228857579.24243,627133.487901413
145,145,2004,Contreforts Massif Central,2025-04-09,2025-04-08,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,145,8388510115.40869,768301.532436903
146,146,2004,Contreforts Massif Central,2025-02-04,2025-02-03,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,146,8388510115.40869,768301.532436903
147,147,2004,Contreforts Massif Central,2025-02-20,2025-02-19,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,147,8388510115.40869,768301.532436903
148,148,2004,Contreforts Massif Central,2025-01-17,2025-01-16,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,148,8388510115.40869,768301.532436903
149,149,2004,Contreforts Massif Central,2025-01-25,2025-01-24,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,149,8388510115.40869,768301.532436903
150,150,2004,Contreforts Massif Central,2025-02-01,2025-01-31,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,150,8388510115.40869,768301.532436903
151,151,2010,Vallée Maurienne Tarentaise,2025-02-16,2025-02-15,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,151,3351663776.77173,490196.968906176
152,152,2010,Vallée Maurienne Tarentaise,2025-03-17,2025-03-16,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,152,3351663776.77173,490196.968906176
153,153,2010,Vallée Maurienne Tarentaise,2025-03-30,2025-03-29,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,153,3351663776.77173,490196.968906176
154,154,2010,Vallée Maurienne Tarentaise,2025-02-21,2025-02-20,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,154,3351663776.77173,490196.968906176
155,155,2010,Vallée Maurienne Tarentaise,2025-03-17,2025-03-16,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,155,3351663776.77173,490196.968906176
156,156,2010,Vallée Maurienne Tarentaise,2025-02-16,2025-02-15,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,156,3351663776.77173,490196.968906176
157,157,2011,Zone des Coteaux,2025-04-06,2025-04-05,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,157,3633709063.09375,438041.830665852
158,158,2011,Zone des Coteaux,2025-03-27,2025-03-26,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,158,3633709063.09375,438041.830665852
159,159,2011,Zone des Coteaux,2025-03-26,2025-03-25,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,159,3633709063.09375,438041.830665852
160,160,2011,Zone des Coteaux,2025-03-02,2025-03-01,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,160,3633709063.09375,438041.830665852
161,161,2011,Zone des Coteaux,2025-01-17,2025-01-16,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,161,3633709063.09375,438041.830665852
162,162,2011,Zone des Coteaux,2025-03-23,2025-03-22,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,162,3633709063.09375,438041.830665852
163,163,2012,Zone urbaine des Pays de Savoie,2025-01-25,2025-01-24,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,163,2323738627.73462,527791.711691031
164,164,2012,Zone urbaine des Pays de Savoie,2025-01-21,2025-01-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,164,2323738627.73462,527791.711691031
165,165,2012,Zone urbaine des Pays de Savoie,2025-02-28,2025-02-27,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,165,2323738627.73462,527791.711691031
166,166,2012,Zone urbaine des Pays de Savoie,2025-02-10,2025-02-09,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,166,2323738627.73462,527791.711691031
167,167,2012,Zone urbaine des Pays de Savoie,2025-04-01,2025-03-31,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,167,2323738627.73462,527791.711691031
168,168,2012,Zone urbaine des Pays de Savoie,2025-02-22,2025-02-21,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,168,2323738627.73462,527791.711691031
169,169,2001,Bassin Lémanique,2025-01-23,2025-01-22,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,169,2519559257.61719,452886.445142051
170,170,2001,Bassin Lémanique,2025-02-21,2025-02-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,170,2519559257.61719,452886.445142051
171,171,2001,Bassin Lémanique,2025-03-31,2025-03-30,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,171,2519559257.61719,452886.445142051
172,172,2001,Bassin Lémanique,2025-02-16,2025-02-15,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,172,2519559257.61719,452886.445142051
173,173,2001,Bassin Lémanique,2025-03-23,2025-03-22,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,173,2519559257.61719,452886.445142051
174,174,2001,Bassin Lémanique,2025-03-22,2025-03-21,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,174,2519559257.61719,452886.445142051
175,175,2002,Bassin Stéphanois,2025-02-26,2025-02-25,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,175,1496149083.80103,221417.724698525
176,176,2002,Bassin Stéphanois,2025-01-27,2025-01-26,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,176,1496149083.80103,221417.724698525
177,177,2002,Bassin Stéphanois,2025-02-16,2025-02-15,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,177,1496149083.80103,221417.724698525
178,178,2002,Bassin Stéphanois,2025-03-16,2025-03-15,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,178,1496149083.80103,221417.724698525
179,179,2002,Bassin Stéphanois,2025-02-07,2025-02-06,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,179,1496149083.80103,221417.724698525
180,180,2002,Bassin Stéphanois,2025-02-19,2025-02-18,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,180,1496149083.80103,221417.724698525
181,181,2006,Ouest Ain,2025-01-24,2025-01-23,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,181,7304271428.8186,431225.777083065
182,182,2006,Ouest Ain,2025-03-01,2025-02-28,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,182,7304271428.8186,431225.777083065
183,183,2006,Ouest Ain,2025-01-13,2025-01-12,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,183,7304271428.8186,431225.777083065
184,184,2006,Ouest Ain,2025-03-12,2025-03-11,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,184,7304271428.8186,431225.777083065
185,185,2006,Ouest Ain,2025-01-16,2025-01-15,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,185,7304271428.8186,431225.777083065
186,186,2006,Ouest Ain,2025-02-19,2025-02-18,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,186,7304271428.8186,431225.777083065
187,187,2014,Zone Alpine Savoie,2025-02-26,2025-02-25,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,187,7855005319.5752,1147978.29816881
188,188,2014,Zone Alpine Savoie,2025-02-21,2025-02-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,188,7855005319.5752,1147978.29816881
189,189,2014,Zone Alpine Savoie,2025-04-09,2025-04-08,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,189,7855005319.5752,1147978.29816881
190,190,2014,Zone Alpine Savoie,2025-02-09,2025-02-08,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,190,7855005319.5752,1147978.29816881
191,191,2014,Zone Alpine Savoie,2025-01-23,2025-01-22,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,191,7855005319.5752,1147978.29816881
192,192,2014,Zone Alpine Savoie,2025-01-28,2025-01-27,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,192,7855005319.5752,1147978.29816881
193,193,2008,Vallée de l'Arve,2025-02-10,2025-02-09,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,193,2584846973.62964,342702.15685192
194,194,2008,Vallée de l'Arve,2025-03-21,2025-03-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,194,2584846973.62964,342702.15685192
195,195,2008,Vallée de l'Arve,2025-01-26,2025-01-25,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,195,2584846973.62964,342702.15685192
196,196,2008,Vallée de l'Arve,2025-02-25,2025-02-24,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,196,2584846973.62964,342702.15685192
197,197,2008,Vallée de l'Arve,2025-04-09,2025-04-08,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,197,2584846973.62964,342702.15685192
198,198,2008,Vallée de l'Arve,2025-03-05,2025-03-04,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,198,2584846973.62964,342702.15685192
199,199,2003,Bassin Lyon Nord-Isère,2025-03-09,2025-03-08,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,199,10020956140.5537,742502.888790182
200,200,2003,Bassin Lyon Nord-Isère,2025-03-31,2025-03-30,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,200,10020956140.5537,742502.888790182
201,201,2003,Bassin Lyon Nord-Isère,2025-02-08,2025-02-07,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,201,10020956140.5537,742502.888790182
202,202,2003,Bassin Lyon Nord-Isère,2025-02-19,2025-02-18,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,202,10020956140.5537,742502.888790182
203,203,2003,Bassin Lyon Nord-Isère,2025-01-22,2025-01-21,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Lundi 15 janvier 2024, les niveaux de particules restent élevés dans le bassin lyonnais Nord Isère. La perturbation peu active qui circule sur le Nord de la région est accompagnée de faibles précipitations qui ne permettent pas un lessivage efficace","Lundi 15 janvier 2024, les niveaux de particules restent élevés dans le bassin lyonnais Nord Isère. La perturbation peu active qui circule sur le Nord de la région est accompagnée de faibles précipitations qui ne permettent pas un lessivage efficace",203,10020956140.5537,742502.888790182
204,204,2003,Bassin Lyon Nord-Isère,2025-02-23,2025-02-22,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Lundi 15 janvier 2024, les niveaux de particules restent élevés dans le bassin lyonnais Nord Isère. La perturbation peu active qui circule sur le Nord de la région est accompagnée de faibles précipitations qui ne permettent pas un lessivage efficace","Lundi 15 janvier 2024, les niveaux de particules restent élevés dans le bassin lyonnais Nord Isère. La perturbation peu active qui circule sur le Nord de la région est accompagnée de faibles précipitations qui ne permettent pas un lessivage efficace",204,10020956140.5537,742502.888790182
205,205,2000,Bassin Grenoblois,2025-01-24,2025-01-23,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,205,1728482137.27905,400232.762903863
206,206,2000,Bassin Grenoblois,2025-04-01,2025-03-31,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,206,1728482137.27905,400232.762903863
207,207,2000,Bassin Grenoblois,2025-02-08,2025-02-07,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,207,1728482137.27905,400232.762903863
208,208,2000,Bassin Grenoblois,2025-02-22,2025-02-21,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,208,1728482137.27905,400232.762903863
209,209,2000,Bassin Grenoblois,2025-02-18,2025-02-17,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,209,1728482137.27905,400232.762903863
210,210,2000,Bassin Grenoblois,2025-02-14,2025-02-13,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,210,1728482137.27905,400232.762903863
211,211,2005,Est Drôme,2025-01-15,2025-01-14,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,211,7994865760.47021,625055.445346144
212,212,2005,Est Drôme,2025-04-01,2025-03-31,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,212,7994865760.47021,625055.445346144
213,213,2005,Est Drôme,2025-01-20,2025-01-19,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,213,7994865760.47021,625055.445346144
214,214,2005,Est Drôme,2025-02-08,2025-02-07,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,214,7994865760.47021,625055.445346144
215,215,2005,Est Drôme,2025-03-27,2025-03-26,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,215,7994865760.47021,625055.445346144
216,216,2005,Est Drôme,2025-03-09,2025-03-08,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,216,7994865760.47021,625055.445346144
217,217,2009,Vallée du Rhône,2025-03-16,2025-03-15,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,217,6760147455.34399,714147.276907234
218,218,2009,Vallée du Rhône,2025-03-02,2025-03-01,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,218,6760147455.34399,714147.276907234
219,219,2009,Vallée du Rhône,2025-01-15,2025-01-14,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,219,6760147455.34399,714147.276907234
220,220,2009,Vallée du Rhône,2025-02-06,2025-02-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,220,6760147455.34399,714147.276907234
221,221,2009,Vallée du Rhône,2025-01-18,2025-01-17,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,221,6760147455.34399,714147.276907234
222,222,2009,Vallée du Rhône,2025-03-11,2025-03-10,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,222,6760147455.34399,714147.276907234
223,223,2015,Zone Alpine Haute-Savoie,2025-03-22,2025-03-21,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,223,5028461384.83838,713618.552774131
224,224,2015,Zone Alpine Haute-Savoie,2025-03-21,2025-03-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,224,5028461384.83838,713618.552774131
225,225,2015,Zone Alpine Haute-Savoie,2025-03-31,2025-03-30,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,225,5028461384.83838,713618.552774131
226,226,2015,Zone Alpine Haute-Savoie,2025-01-24,2025-01-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,226,5028461384.83838,713618.552774131
227,227,2015,Zone Alpine Haute-Savoie,2025-04-03,2025-04-02,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,227,5028461384.83838,713618.552774131
228,228,2015,Zone Alpine Haute-Savoie,2025-04-07,2025-04-06,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,228,5028461384.83838,713618.552774131
229,229,2018,Puy-de-Dôme,2025-01-29,2025-01-28,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,229,16418574390.5728,676127.767219245
230,230,2018,Puy-de-Dôme,2025-01-30,2025-01-29,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,230,16418574390.5728,676127.767219245
231,231,2018,Puy-de-Dôme,2025-02-03,2025-02-02,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,231,16418574390.5728,676127.767219245
232,232,2018,Puy-de-Dôme,2025-04-07,2025-04-06,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,232,16418574390.5728,676127.767219245
233,233,2018,Puy-de-Dôme,2025-03-28,2025-03-27,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,233,16418574390.5728,676127.767219245
234,234,2018,Puy-de-Dôme,2025-03-06,2025-03-05,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,234,16418574390.5728,676127.767219245
235,235,2017,Haute-Loire,2025-03-21,2025-03-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,235,10065814383.6129,602626.69365192
236,236,2017,Haute-Loire,2025-03-07,2025-03-06,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,236,10065814383.6129,602626.69365192
237,237,2017,Haute-Loire,2025-01-20,2025-01-19,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,237,10065814383.6129,602626.69365192
238,238,2017,Haute-Loire,2025-02-20,2025-02-19,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,238,10065814383.6129,602626.69365192
239,239,2017,Haute-Loire,2025-01-19,2025-01-18,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,239,10065814383.6129,602626.69365192
240,240,2017,Haute-Loire,2025-01-15,2025-01-14,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,240,10065814383.6129,602626.69365192
241,241,2019,Cantal,2025-02-12,2025-02-11,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,241,11553081647.4812,681939.649883399
242,242,2019,Cantal,2025-03-06,2025-03-05,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,242,11553081647.4812,681939.649883399
243,243,2019,Cantal,2025-02-24,2025-02-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,243,11553081647.4812,681939.649883399
244,244,2019,Cantal,2025-03-05,2025-03-04,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,244,11553081647.4812,681939.649883399
245,245,2019,Cantal,2025-02-28,2025-02-27,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,245,11553081647.4812,681939.649883399
246,246,2019,Cantal,2025-04-02,2025-04-01,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,246,11553081647.4812,681939.649883399
247,247,2020,Allier,2025-03-13,2025-03-12,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,247,15511892321.8704,726675.483949669
248,248,2020,Allier,2025-03-19,2025-03-18,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,248,15511892321.8704,726675.483949669
249,249,2020,Allier,2025-02-27,2025-02-26,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,249,15511892321.8704,726675.483949669
250,250,2020,Allier,2025-03-19,2025-03-18,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,250,15511892321.8704,726675.483949669
251,251,2020,Allier,2025-03-16,2025-03-15,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,251,15511892321.8704,726675.483949669
252,252,2020,Allier,2025-01-21,2025-01-20,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,252,15511892321.8704,726675.483949669
253,253,2016,Zone Alpine Ain,2025-03-24,2025-03-23,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,253,3359408044.19214,346225.361125245
254,254,2016,Zone Alpine Ain,2025-01-28,2025-01-27,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,254,3359408044.19214,346225.361125245
255,255,2016,Zone Alpine Ain,2025-02-26,2025-02-25,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,255,3359408044.19214,346225.361125245
256,256,2016,Zone Alpine Ain,2025-03-22,2025-03-21,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,256,3359408044.19214,346225.361125245
257,257,2016,Zone Alpine Ain,2025-01-14,2025-01-13,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,257,3359408044.19214,346225.361125245
258,258,2016,Zone Alpine Ain,2025-02-15,2025-02-14,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,258,3359408044.19214,346225.361125245
259,259,2013,Zone Alpine Isère,2025-03-21,2025-03-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,259,7206588787.80615,781821.320976567
260,260,2013,Zone Alpine Isère,2025-03-28,2025-03-27,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,260,7206588787.80615,781821.320976567
261,261,2013,Zone Alpine Isère,2025-03-24,2025-03-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,261,7206588787.80615,781821.320976567
262,262,2013,Zone Alpine Isère,2025-02-06,2025-02-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,262,7206588787.80615,781821.320976567
263,263,2013,Zone Alpine Isère,2025-03-30,2025-03-29,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,263,7206588787.80615,781821.320976567
264,264,2013,Zone Alpine Isère,2025-01-24,2025-01-23,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,264,7206588787.80615,781821.320976567
265,265,2007,Ouest Ardèche,2025-01-21,2025-01-20,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,265,9228857579.24243,627133.487901413
266,266,2007,Ouest Ardèche,2025-02-26,2025-02-25,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,266,9228857579.24243,627133.487901413
267,267,2007,Ouest Ardèche,2025-01-15,2025-01-14,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,267,9228857579.24243,627133.487901413
268,268,2007,Ouest Ardèche,2025-02-17,2025-02-16,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,268,9228857579.24243,627133.487901413
269,269,2007,Ouest Ardèche,2025-03-09,2025-03-08,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,269,9228857579.24243,627133.487901413
270,270,2007,Ouest Ardèche,2025-01-29,2025-01-28,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,270,9228857579.24243,627133.487901413
271,271,2004,Contreforts Massif Central,2025-02-03,2025-02-02,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,271,8388510115.40869,768301.532436903
272,272,2004,Contreforts Massif Central,2025-02-09,2025-02-08,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,272,8388510115.40869,768301.532436903
273,273,2004,Contreforts Massif Central,2025-03-29,2025-03-28,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,273,8388510115.40869,768301.532436903
274,274,2004,Contreforts Massif Central,2025-01-28,2025-01-27,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,274,8388510115.40869,768301.532436903
275,275,2004,Contreforts Massif Central,2025-03-23,2025-03-22,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,275,8388510115.40869,768301.532436903
276,276,2004,Contreforts Massif Central,2025-01-19,2025-01-18,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,276,8388510115.40869,768301.532436903
277,277,2010,Vallée Maurienne Tarentaise,2025-01-13,2025-01-12,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,277,3351663776.77173,490196.968906176
278,278,2010,Vallée Maurienne Tarentaise,2025-03-31,2025-03-30,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,278,3351663776.77173,490196.968906176
279,279,2010,Vallée Maurienne Tarentaise,2025-03-22,2025-03-21,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,279,3351663776.77173,490196.968906176
280,280,2010,Vallée Maurienne Tarentaise,2025-04-05,2025-04-04,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,280,3351663776.77173,490196.968906176
