id,code_zone,lib_zone,date_ech,date_dif,code_pol,lib_pol,etat,couleur,com_court,com_long,longitude,latitude
25,2010,Vallée Maurienne Tarentaise,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.711440797,45.14486295
26,2010,Vallée Maurienne Tarentaise,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.711440797,45.14486295
27,2010,Vallée Maurienne Tarentaise,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.711440797,45.14486295
28,2010,Vallée Maurienne Tarentaise,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.711440797,45.14486295
29,2010,Vallée Maurienne Tarentaise,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.711440797,45.14486295
30,2010,Vallée Maurienne Tarentaise,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,6.711440797,45.14486295
31,2011,Zone des Coteaux,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.570351392,45.582501582
32,2011,Zone des Coteaux,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.570351392,45.582501582
33,2011,Zone des Coteaux,2024-01-14 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.570351392,45.582501582
34,2011,Zone des Coteaux,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,4.570351392,45.582501582
35,2011,Zone des Coteaux,2024-01-13 00:00:00+00:00,2024-01-13 00:00:00+00:00,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",4.570351392,45.582501582
