code_insee_commune,axe,x_deb,y_deb,x_fin,y_fin,longueur,code_traficolor
733131555.0,A620,574943.4,6276087.0,574943.4,6276087.0,669,TO31
931313055.0,A55,892215.0,6248828.0,891883.0,6249272.0,120,MA13
237676497.0,N338,558165.0,6921333.0,558253.06,6922313.5,1375,RO76
733131555.0,A620,574945.8,6276091.0,574945.8,6276091.0,670,TO31
237676497.0,N338,558104.0,6921359.0,558253.3,6922313.0,1355,RO76
913434300.0,A75,724935.1,6253760.0,723247.4,6249470.5,6384,DIRMC
415454528.0,A31,912261.5,6843084.0,914849.56,6845217.0,4127,NA54
415757226.0,A30,916799.3,6921048.0,911901.44,6927511.0,8532,ME57
931313117.0,A7,884197.2,6260332.5,884866.3,6259737.5,395,MA13
415757226.0,A30,916784.2,6921042.0,911883.5,6927502.5,8530,ME57
733131555.0,A621,571463.6,6281905.0,570544.94,6281580.5,532,TO31
733131555.0,A620,574066.4,6276431.5,574945.8,6276091.0,689,TO31
733131069.0,A621,569695.9,6282012.0,569695.9,6282012.0,460,TO31
415757343.0,A31,931566.7,6919099.0,929876.5,6921135.5,3301,ME57
415757343.0,A31,931542.25,6919098.5,929874.44,6921116.5,3275,ME57
415454090.0,A31,931824.8,6855231.5,930951.94,6856973.0,2474,NA54
723333550.0,A630,418514.06,6415069.5,419781.44,6415500.0,760,BX33
931313015.0,A51,894048.44,6263358.5,894044.4,6264355.5,501,MA13
415454090.0,A31,931848.1,6855250.0,930984.75,6856974.0,2480,NA54
723333013.0,N230,423183.12,6423583.5,423324.0,6424567.5,947,BX33
723333013.0,N230,423305.56,6422600.0,423310.2,6424567.5,1072,BX33
237676497.0,N138,558025.0,6921088.0,558508.0,6922040.0,842,RO76
931313055.0,A50,901052.3,6246903.0,902023.4,6246669.5,497,MA13
415757463.0,A31,931227.25,6896998.0,932345.9,6898548.5,2194,ME57
415757463.0,A31,931214.1,6897012.5,932313.6,6898550.0,2182,ME57
237676497.0,N138,557533.0,6920140.0,558025.0,6921088.0,1074,RO76
524444026.0,A811,361559.62,6696016.0,361400.38,6694029.5,1956,NA44
237676497.0,N138,557513.0,6920167.0,557988.0,6921126.0,1076,RO76
524444026.0,A811,361541.28,6696022.0,361385.2,6694030.0,1961,NA44
251414254.0,N814,450596.53,6900280.5,452700.97,6898333.0,2894,CA14
251414254.0,N814,450585.4,6900271.0,452696.38,6898315.0,2901,CA14
723333063.0,A630,419806.2,6426639.5,418868.22,6426970.5,760,BX33
723333063.0,A630,419809.1,6426649.0,418873.7,6426982.5,765,BX33
237676319.0,N138,556329.0,6918511.0,557513.0,6920167.0,1356,RO76
237676319.0,N138,556333.0,6918503.0,557533.0,6920140.0,1376,RO76
524444020.0,N844,351479.1,6685600.5,351027.4,6685801.0,107,NA44
524444020.0,N844,351492.62,6685611.0,351038.84,6685813.5,403,NA44
415757433.0,A31,931384.4,6904487.0,931245.9,6906492.5,1783,ME57
931313055.0,A50,902023.4,6246669.5,902023.4,6246669.5,499,MA13
415757433.0,A31,931408.6,6904488.5,931269.94,6906492.5,1788,ME57
931313055.0,A55,891883.0,6249272.0,891883.0,6249272.0,500,MA13
251414587.0,N814,450801.1,6904456.5,450379.78,6903953.5,1456,CA14
251414587.0,N814,450728.7,6904383.5,450401.75,6903949.0,1100,CA14
723333281.0,A630,409711.9,6419884.5,409939.0,6418927.0,689,BX33
723333281.0,A630,409715.88,6419885.5,409958.06,6418940.5,677,BX33
931313055.0,A7,892980.06,6250204.0,892980.06,6250204.0,500,MA13
723333167.0,N230,423407.3,6421573.5,423305.56,6422600.0,912,BX33
237676319.0,N138,554419.0,6917554.0,555522.5,6917911.5,1689,RO76
237676319.0,N138,554419.0,6917563.0,555520.5,6917919.5,1684,RO76
931313055.0,A55,891016.0,6250934.0,891016.0,6250934.0,501,MA13
524444020.0,N844,351027.4,6685801.0,351027.4,6685801.0,704,NA44
524444020.0,N844,351038.84,6685813.5,351038.84,6685813.5,708,NA44
733131555.0,A620,572352.1,6281207.5,572352.1,6281207.5,838,TO31
931313055.0,A50,900066.44,6247077.0,901052.3,6246903.0,505,MA13
931313015.0,A51,894867.0,6266119.5,894867.0,6266119.5,501,MA13
415757356.0,A31,925822.25,6929893.5,926256.0,6934818.0,4191,ME57
251414623.0,N158,457153.78,6896935.5,456552.0,6898787.0,2140,CA14
251414623.0,N158,457169.84,6896939.5,456566.1,6898789.5,2136,CA14
415757356.0,A31,925842.4,6929887.0,926268.0,6934824.0,4199,ME57
723333063.0,A630,418868.22,6426970.5,418245.84,6427222.0,730,BX33
723333063.0,A630,420758.3,6426337.0,419806.2,6426639.5,406,BX33
723333063.0,A630,418873.7,6426982.5,418249.56,6427235.0,860,BX33
723333063.0,A630,420761.22,6426346.0,419809.1,6426649.0,274,BX33
415454150.0,A31,930984.75,6856974.0,928623.06,6861327.0,5883,NA54
723333249.0,N230,423135.28,6425542.0,422823.8,6426489.0,595,BX33
723333249.0,N230,423122.25,6425538.0,423035.0,6426861.5,880,BX33
237676157.0,A150,557785.2,6931212.5,557228.7,6932008.0,1106,RO76
237676157.0,A150,557810.4,6931226.0,557252.5,6932021.5,1120,RO76
733131555.0,A620,572328.94,6281209.0,572328.94,6281209.0,839,TO31
931313055.0,A55,891646.0,6250178.0,891646.0,6250178.0,503,MA13
931313055.0,A50,901052.3,6246903.0,901052.3,6246903.0,502,MA13
723333167.0,N230,423420.25,6421577.0,423318.75,6422603.5,917,BX33
931313015.0,A51,894566.25,6265183.0,894867.0,6266119.5,508,MA13
723333318.0,A630,412498.6,6416469.0,413525.66,6416555.5,907,BX33
415454150.0,A31,930951.94,6856973.0,928597.56,6861320.0,5893,NA54
237676503.0,A151,555178.6,6937404.0,556451.1,6938916.0,2457,RO76
237676503.0,A151,555184.6,6937394.0,556457.94,6938906.0,2451,RO76
723333318.0,A63,412830.66,6416491.0,412830.66,6416491.0,685,BX33
237676108.0,N28,564815.44,6932096.5,565081.3,6933260.5,1019,RO76
237676108.0,N28,564822.3,6932085.0,565083.44,6933241.0,1017,RO76
931313071.0,A7,886686.06,6258819.5,886686.06,6258819.5,498,MA13
733131555.0,A64,571693.3,6274451.0,572177.0,6275300.5,1099,TO31
733131555.0,A64,571718.9,6274432.0,572244.44,6275259.5,890,TO31
931313055.0,A50,898254.6,6246268.5,899136.1,6246741.0,504,MA13
251414738.0,A84,446610.28,6900874.0,449488.4,6901520.0,3564,CA14
524444009.0,N249,362196.94,6690391.0,362593.12,6690058.5,665,NA44
524444009.0,N249,362199.16,6690400.0,362602.78,6690066.0,1168,NA44
931313055.0,A50,899136.1,6246741.0,899136.1,6246741.0,499,MA13
251414738.0,A84,446605.5,6900890.5,449485.6,6901539.0,3571,CA14
723333318.0,A63,412869.28,6416508.0,412424.34,6415734.5,1388,BX33
